n,d_n,maxP,SSD_flag
1,6,6,1
2,4,10,1
3,6,16,0
4,1,17,0
5,1,18,0
6,2,20,0
7,3,23,0
8,34,57,0
9,47,104,0
10,87,191,0
11,174,365,0
12,347,712,0
13,692,1404,0
14,1350,2754,0
15,2697,5451,0
16,5347,10798,0
17,10607,21405,0
18,21040,42445,0
19,41733,84178,0
20,82774,166952,0
21,166240,333192,0
22,330438,663630,0
23,658179,1321809,0
24,1311011,2632820,0
25,2611415,5244235,0
26,5201790,10446025,0
27,10403580,20849605,0
28,20765427,41615032,0
29,41448080,83063112,0
30,82729920,165793032,0
