n,d_n,maxP,SSD_flag
1,3,3,1
2,3,6,1
3,6,12,1
4,1,13,1
5,1,14,0
6,2,16,0
7,25,41,0
8,29,70,0
9,64,134,0
10,121,255,0
11,242,497,0
12,483,980,0
13,940,1920,0
14,1879,3799,0
15,3729,7528,0
16,7394,14922,0
17,14667,29589,0
18,29092,58681,0
19,57701,116382,0
20,115402,231784,0
21,229864,461648,0
22,457849,919497,0
23,911969,1831466,0
24,1816544,3648010,0
25,3618421,7266431,0
26,7207750,14474181,0
27,14415500,28889681,0
28,28773299,57662980,0
29,57431196,115094176,0
30,114632528,229726704,0
