n,d_n,maxP,SSD_flag
1,4,4,1
2,6,10,1
3,4,14,0
4,1,15,0
5,1,16,0
6,2,18,0
7,3,21,0
8,32,53,0
9,43,96,0
10,81,177,0
11,162,339,0
12,323,662,0
13,644,1306,0
14,1256,2562,0
15,2509,5071,0
16,4975,10046,0
17,9869,19915,0
18,19576,39491,0
19,38829,78320,0
20,77014,155334,0
21,154672,310006,0
22,307444,617450,0
23,612379,1229829,0
24,1219783,2449612,0
25,2429697,4879309,0
26,4839818,9719127,0
27,9679636,19398763,0
28,19320443,38719206,0
29,38563872,77283078,0
30,76973072,154256150,0
