n,d_n,maxP,SSD_flag
1,5,5,1
2,6,11,1
3,1,12,1
4,1,13,1
5,2,15,0
6,3,18,0
7,25,43,0
8,31,74,0
9,62,136,0
10,123,259,0
11,244,503,0
12,488,991,0
13,948,1939,0
14,1865,3804,0
15,3730,7534,0
16,7398,14932,0
17,14673,29605,0
18,29102,58707,0
19,57716,116423,0
20,114484,230907,0
21,228968,459875,0
22,456071,915946,0
23,908412,1824358,0
24,1809426,3633784,0
25,3604179,7237963,0
26,7179256,14417219,0
27,14300796,28718015,0
28,28601592,57319607,0
29,57088700,114408307,0
30,113948432,228356739,0
