n,d_n,maxP,SSD_flag
1,5,5,1
2,5,10,1
3,1,11,1
4,1,12,1
5,2,14,0
6,3,17,0
7,23,40,0
8,29,69,0
9,58,127,0
10,115,242,0
11,228,470,0
12,456,926,0
13,886,1812,0
14,1743,3555,0
15,3486,7041,0
16,6914,13955,0
17,13713,27668,0
18,27198,54866,0
19,53940,108806,0
20,106994,215800,0
21,213988,429788,0
22,426233,856021,0
23,848980,1705001,0
24,1691046,3396047,0
25,3368379,6764426,0
26,6709560,13473986,0
27,13365180,26839166,0
28,26730360,53569526,0
29,53353726,106923252,0
30,106493464,213416716,0
