n,d_n,maxP,SSD_flag
1,5,5,1
2,5,10,1
3,2,12,1
4,1,13,1
5,1,14,0
6,4,18,0
7,23,41,0
8,31,72,0
9,60,132,0
10,119,251,0
11,238,489,0
12,471,960,0
13,919,1879,0
14,1807,3686,0
15,3614,7300,0
16,7168,14468,0
17,14217,28685,0
18,28196,56881,0
19,55921,112802,0
20,110923,223725,0
21,221846,445571,0
22,441885,887456,0
23,880156,1767612,0
24,1753144,3520756,0
25,3492071,7012827,0
26,6955946,13968773,0
27,13855971,27824744,0
28,27711942,55536686,0
29,55312961,110849647,0
30,110404076,221253723,0
