n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,1,10,1
4,1,11,1
5,2,13,0
6,16,29,0
7,20,49,0
8,39,88,0
9,78,166,0
10,155,321,0
11,297,618,0
12,589,1207,0
13,1158,2365,0
14,2277,4642,0
15,4476,9118,0
16,8797,17915,0
17,17749,35664,0
18,35046,70710,0
19,69503,140213,0
20,137848,278061,0
21,273419,551480,0
22,546838,1098318,0
23,1089200,2187518,0
24,2169603,4357121,0
25,4321457,8678578,0
26,8607868,17286446,0
27,17146233,34432679,0
28,34154618,68587297,0
29,68309236,136896533,0
30,136345053,273241586,0
