SSD,d,P,delta
-1,5,5,4
-1,8,13,11
-1,2,15,11
-1,2,17,10
-1,4,21,8
-1,16,37,13
-1,22,59,15
-1,44,103,19
-1,86,189,28
-1,152,341,32
-1,1,342,-252
-1,1,343,-821
-1,825,1168,-1116
-1,1065,2233,-2251
-1,2126,4359,-4448
-1,4256,8615,-8690
-1,8338,16953,-17348
-1,16786,33739,-34269
-1,33504,67243,-67609
-1,66901,134144,-133276
-1,133520,267664,-262692
-1,266496,534160,-517745
-1,531927,1066087,-1028916
-1,1061728,2127815,-2044886
-1,2119200,4247015,-4064086
-1,4230062,8477077,-8077117
-1,8443338,16920415,-16053121
-1,16853172,33773587,-31906065
-1,33639443,67413030,-63415918
-1,67396077,134809107,-126318433
-1,134541443,269350550,-251852625
-1,268816390,538166940,-502144407
-1,537100853,1075267793,-1001182200
-1,1073139978,2148407771,-1996181114
-1,2144160756,4292568527,-3980055049
-1,4288321512,8580890039,-7931383577
-1,8572412962,17153303001,-15805564579
