SSD,d,P,delta
-1,5,5,4
-1,5,10,8
-1,2,12,8
-1,7,19,12
-1,1,20,7
-1,8,28,4
-1,23,51,7
-1,39,90,6
-1,78,168,7
-1,149,317,8
-1,4,321,-273
-1,4,325,-839
-1,825,1150,-1134
-1,1060,2210,-2274
-1,2042,4252,-4555
-1,4201,8453,-8852
-1,8326,16779,-17522
-1,16486,33265,-34743
-1,33065,66330,-68522
-1,66009,132339,-135081
-1,132018,264357,-265999
-1,263207,527564,-524341
-1,525354,1052918,-1042085
-1,1048666,2101584,-2071117
-1,2093131,4194715,-4116386
-1,4177936,8372651,-8181543
-1,8355872,16728523,-16245013
-1,16695258,33423781,-32255871
-1,33357451,66781232,-64047716
-1,66648893,133430125,-127697415
-1,133165768,266595893,-254607282
-1,266068329,532664222,-507647125
-1,531611304,1064275526,-1012174467
-1,1062173942,2126449468,-2018139417
-1,2122254753,4248704221,-4023919355
-1,4244509506,8493213727,-8019059889
-1,8484841076,16978054803,-15980812777
