SSD,d,P,delta
-1,5,5,4
-1,8,13,11
-1,4,17,13
-1,4,21,14
-1,2,23,10
-1,14,37,13
-1,24,61,17
-1,44,105,21
-1,88,193,32
-1,156,349,40
-1,1,350,-244
-1,1,351,-813
-1,845,1196,-1088
-1,1091,2287,-2197
-1,2154,4441,-4366
-1,4336,8777,-8528
-1,8628,17405,-16896
-1,17212,34617,-33391
-1,34468,69085,-65767
-1,68772,137857,-129563
-1,137000,274857,-255499
-1,273661,548518,-503387
-1,546231,1094749,-1000254
-1,1090308,2185057,-1987644
-1,2176280,4361337,-3949764
-1,4343932,8705269,-7848925
-1,8670652,17375921,-15597615
-1,17306836,34682757,-30996895
-1,34544900,69227657,-61601291
-1,69223216,138450873,-122676667
-1,138176016,276626889,-244576286
-1,276078371,552705260,-487606087
-1,551610511,1104315771,-972134222
-1,1103221022,2207536793,-1937052092
-1,2205351736,4412888529,-3859735047
-1,4408527192,8821415721,-7690857895
-1,8812710452,17634126173,-15324741407
