SSD,d,P,delta
-1,9,9,8
-1,3,12,10
-1,4,16,12
-1,8,24,17
-1,2,26,13
-1,6,32,8
-1,32,64,20
-1,48,112,28
-1,88,200,39
-1,176,376,67
-1,1,377,-217
-1,1,378,-786
-1,889,1267,-1017
-1,1155,2422,-2062
-1,2318,4740,-4067
-1,4632,9372,-7933
-1,9078,18450,-15851
-1,18354,36804,-31204
-1,36506,73310,-61542
-1,72933,146243,-121177
-1,145161,291404,-238952
-1,290137,581541,-470364
-1,579119,1160660,-934343
-1,1155920,2316580,-1856121
-1,2307208,4623788,-3687313
-1,4605338,9229126,-7325068
-1,9192322,18421448,-14552088
-1,18348138,36769586,-28910066
-1,36623343,73392929,-57436019
-1,73374824,146767753,-114359787
-1,146476349,293244102,-227959073
-1,292662561,585906663,-454404684
-1,584746003,1170652666,-905797327
-1,1168336086,2338988752,-1805600133
-1,2334364964,4673353716,-3599269860
-1,4668729928,9342083644,-7170189972
-1,9332854518,18674938162,-14283929418
