SSD,d,P,delta
-1,3,3,2
-1,2,5,3
-1,8,13,9
-1,4,17,10
-1,4,21,8
-1,16,37,13
-1,24,61,17
-1,44,105,21
-1,88,193,32
-1,156,349,40
-1,1,350,-244
-1,1,351,-813
-1,845,1196,-1088
-1,1091,2287,-2197
-1,2154,4441,-4366
-1,4368,8809,-8496
-1,8660,17469,-16832
-1,17264,34733,-33275
-1,34440,69173,-65679
-1,68823,137996,-129424
-1,137646,275642,-254714
-1,274446,550088,-501817
-1,547801,1097889,-997114
-1,1093448,2191337,-1981364
-1,2182528,4373865,-3937236
-1,4372826,8746691,-7807503
-1,8729222,17475913,-15497623
-1,17441180,34917093,-30762559
-1,34847920,69765013,-61063935
-1,69627017,139392030,-121735510
-1,139116388,278508418,-242694757
-1,278232776,556741194,-483570153
-1,556191106,1112932300,-963517693
-1,1111834411,2224766711,-1919822174
-1,2222575374,4447342085,-3825281491
-1,4442968220,8890310305,-7621963311
-1,8881563614,17771873919,-15186993661
