SSD,d,P,delta
-1,1,1,0
-1,1,2,0
-1,2,4,0
-1,8,12,5
-1,8,20,7
-1,16,36,12
-1,24,60,16
-1,48,108,24
-1,88,196,35
-1,160,356,47
-1,6,362,-232
-1,6,368,-796
-1,870,1238,-1046
-1,1042,2280,-2204
-1,2220,4500,-4307
-1,4392,8892,-8413
-1,8660,17552,-16749
-1,17356,34908,-33100
-1,34664,69572,-65280
-1,69210,138782,-128638
-1,137616,276398,-253958
-1,275160,551558,-500347
-1,549278,1100836,-994167
-1,1096336,2197172,-1975529
-1,2188280,4385452,-3925649
-1,4367900,8753352,-7800842
-1,8718444,17471796,-15501740
-1,17402224,34874020,-30805632
-1,34735238,69609258,-61219690
-1,69591706,139200964,-121926576
-1,138924566,278125530,-243077645
-1,277573972,555699502,-484611845
-1,554598666,1110298168,-966151825
-1,1108100996,2218399164,-1926189721
-1,2214013712,4432412876,-3840210700
-1,4428027424,8860440300,-7651833316
-1,8851686948,17712127248,-15246740332
