SSD,d,P,delta
-1,3,3,2
-1,3,6,4
-1,8,14,10
-1,4,18,11
-1,4,22,9
-1,16,38,14
-1,24,62,18
-1,44,106,22
-1,88,194,33
-1,156,350,41
-1,1,351,-243
-1,1,352,-812
-1,2,354,-1930
-1,1091,1445,-3039
-1,1343,2788,-6019
-1,2696,5484,-11821
-1,5350,10834,-23467
-1,10600,21434,-46574
-1,21140,42574,-92278
-1,42468,85042,-182378
-1,84731,169773,-360583
-1,169422,339195,-712710
-1,337811,677006,-1417997
-1,675561,1352567,-2820134
-1,1349779,2702346,-5608755
-1,2696862,5399208,-11154986
-1,5388374,10787582,-22185954
-1,10766148,21553730,-44125922
-1,21511156,43064886,-87764062
-1,42979844,86044730,-175082810
-1,85874957,171919687,-349283488
-1,171580492,343500179,-696811168
-1,343457605,686957784,-1389492209
-1,686280778,1373238562,-2771350323
-1,1371885995,2745124557,-5527499019
-1,2742422211,5487546768,-11024726848
-1,5482147560,10969694328,-21989173252
