SSD,d,P,delta
-1,5,5,4
-1,5,10,8
-1,7,17,13
-1,3,20,13
-1,3,23,10
-1,6,29,5
-1,24,53,9
-1,43,96,12
-1,76,172,11
-1,152,324,15
-1,1,325,-269
-1,1,326,-838
-1,2,328,-1956
-1,1031,1359,-3125
-1,1230,2589,-6218
-1,2526,5115,-12190
-1,5006,10121,-24180
-1,9897,20018,-47990
-1,19889,39907,-94945
-1,39687,79594,-187826
-1,79269,158863,-371493
-1,158538,317401,-734504
-1,317075,634476,-1460527
-1,633117,1267593,-2905108
-1,1265004,2532597,-5778504
-1,2527482,5060079,-11494115
-1,5057533,10117612,-22855924
-1,10107491,20225103,-45454549
-1,20205085,40430188,-90398760
-1,40390281,80820469,-180307071
-1,80740875,161561344,-359641831
-1,161402481,322963825,-717347522
-1,322646424,645610249,-1430839744
-1,644975773,1290586022,-2854002863
-1,1289318429,2579904451,-5692719125
-1,2578636858,5158541309,-11353732307
-1,5156008712,10314550021,-22644317559
