SSD,d,P,delta
-1,1,1,0
-1,6,7,5
-1,8,15,11
-1,4,19,12
-1,4,23,10
-1,16,39,15
-1,24,63,19
-1,44,107,23
-1,88,195,34
-1,156,351,42
-1,2,353,-241
-1,2,355,-809
-1,846,1201,-1083
-1,1094,2295,-2189
-1,2160,4455,-4352
-1,4348,8803,-8502
-1,8540,17343,-16958
-1,17188,34531,-33477
-1,34268,68799,-66053
-1,68446,137245,-130175
-1,136268,273513,-256843
-1,272312,545825,-506080
-1,543530,1089355,-1005648
-1,1084900,2174255,-1998446
-1,2165452,4339707,-3971394
-1,4322364,8662071,-7892123
-1,8627540,17289611,-15683925
-1,17220812,34510423,-31169229
-1,34373178,68883601,-61945347
-1,68866594,137750195,-123377345
-1,137476682,275226877,-245976298
-1,274681052,549907929,-490403418
-1,548818574,1098726503,-977723490
-1,1096552248,2195278751,-1949310134
-1,2190939044,4386217795,-3886405781
-1,4381878088,8768095883,-7744177733
-1,8759433812,17527529695,-15431337885
