SSD,d,P,delta
-1,4,4,3
-1,2,6,4
-1,2,8,4
-1,3,11,4
-1,5,16,3
-1,12,28,4
-1,22,50,6
-1,39,89,5
-1,78,167,6
-1,151,318,9
-1,1,319,-275
-1,1,320,-844
-1,827,1147,-1137
-1,1058,2205,-2279
-1,2038,4243,-4564
-1,4193,8436,-8869
-1,8190,16626,-17675
-1,16537,33163,-34845
-1,32900,66063,-68789
-1,65744,131807,-135613
-1,130890,262697,-267659
-1,261550,524247,-527658
-1,522042,1046289,-1048714
-1,1042046,2088335,-2084366
-1,2079899,4168234,-4142867
-1,4151608,8319842,-8234352
-1,8286679,16606521,-16367015
-1,16540458,33146979,-32532673
-1,33015172,66162151,-64666797
-1,66096088,132258239,-128869301
-1,131995542,264253781,-256949394
-1,263729534,527983315,-512328032
-1,526937026,1054920341,-1021529652
-1,1052832006,2107752347,-2036836538
-1,2103584113,4211336460,-4061287116
-1,4203016618,8414353078,-8097920538
-1,8397746557,16812099635,-16146767945
