SSD,d,P,delta
-1,5,5,4
-1,9,14,12
-1,2,16,12
-1,8,24,17
-1,8,32,19
-1,4,36,12
-1,28,64,20
-1,48,112,28
-1,88,200,39
-1,176,376,67
-1,1,377,-217
-1,1,378,-786
-1,889,1267,-1017
-1,1155,2422,-2062
-1,2310,4732,-4075
-1,4542,9274,-8031
-1,9074,18348,-15953
-1,18156,36504,-31504
-1,36304,72808,-62044
-1,72431,145239,-122181
-1,144500,289739,-240617
-1,288472,578211,-473694
-1,575789,1154000,-941003
-1,1149268,2303268,-1869433
-1,2293994,4597262,-3713839
-1,4578914,9176176,-7378018
-1,9139672,18315848,-14657688
-1,18243040,36558888,-29120764
-1,36413649,72972537,-57856411
-1,72936033,145908570,-115218970
-1,145618831,291527401,-229675774
-1,290949190,582476591,-457834756
-1,581322591,1163799182,-912650811
-1,1161495914,2325295096,-1819293789
-1,2320697834,4645992930,-3626630646
-1,4636816754,9282809684,-7229463932
-1,9273633508,18556443192,-14402424388
