SSD,d,P,delta
-1,5,5,4
-1,6,11,9
-1,2,13,9
-1,4,17,10
-1,4,21,8
-1,16,37,13
-1,24,61,17
-1,44,105,21
-1,88,193,32
-1,156,349,40
-1,1,350,-244
-1,1,351,-813
-1,845,1196,-1088
-1,1091,2287,-2197
-1,2154,4441,-4366
-1,4360,8801,-8504
-1,8652,17453,-16848
-1,17256,34709,-33299
-1,34364,69073,-65779
-1,68723,137796,-129624
-1,137446,275242,-255114
-1,274046,549288,-502617
-1,547001,1096289,-998714
-1,1091848,2188137,-1984564
-1,2179336,4367473,-3943628
-1,4350020,8717493,-7836701
-1,8708736,17426229,-15547307
-1,17391520,34817749,-30861903
-1,34748676,69566425,-61262523
-1,69428629,138995054,-122132486
-1,138719812,277714866,-243488309
-1,277165578,554880444,-485430903
-1,553784155,1108664599,-967785394
-1,1106476462,2215141061,-1929447824
-1,2212952924,4428093985,-3844529591
-1,4423726512,8851820497,-7660453119
-1,8844199212,17696019709,-15262847871
