SSD,d,P,delta
-1,1,1,0
-1,4,5,3
-1,4,9,5
-1,8,17,10
-1,6,23,10
-1,6,29,5
-1,24,53,9
-1,44,97,13
-1,80,177,16
-1,154,331,22
-1,2,333,-261
-1,2,335,-829
-1,822,1157,-1127
-1,1060,2217,-2267
-1,2084,4301,-4506
-1,4212,8513,-8792
-1,8270,16783,-17518
-1,16606,33389,-34619
-1,33158,66547,-68305
-1,66214,132761,-134659
-1,131836,264597,-265759
-1,263440,528037,-523868
-1,525820,1053857,-1041146
-1,1049556,2103413,-2069288
-1,2094900,4198313,-4112788
-1,4181530,8379843,-8174351
-1,8346454,16726297,-16247239
-1,16659750,33386047,-32293605
-1,33253286,66639333,-64189615
-1,66622550,133261883,-127865657
-1,132997286,266259169,-254944006
-1,265731132,531990301,-508321046
-1,530936444,1062926745,-1013523248
-1,1060823332,2123750077,-2020838808
-1,2119551764,4243301841,-4029321735
-1,4239103528,8482405369,-8029868247
-1,8474025526,16956430895,-16002436685
