SSD,d,P,delta
-1,7,7,6
-1,9,16,14
-1,8,24,20
-1,8,32,25
-1,2,34,21
-1,2,36,12
-1,28,64,20
-1,48,112,28
-1,88,200,39
-1,176,376,67
-1,1,377,-217
-1,1,378,-786
-1,6,384,-1900
-1,1067,1451,-3033
-1,1387,2838,-5969
-1,2686,5524,-11781
-1,5412,10936,-23365
-1,10764,21700,-46308
-1,21372,43072,-91780
-1,42696,85768,-181652
-1,85392,171160,-359196
-1,170783,341943,-709962
-1,340492,682435,-1412568
-1,679597,1362032,-2810669
-1,1360581,2722613,-5588488
-1,2717089,5439702,-11114492
-1,5428766,10868468,-22105068
-1,10846768,21715236,-43964416
-1,21672164,43387400,-87441548
-1,43301632,86689032,-174438508
-1,86517872,173206904,-347996271
-1,172864961,346071865,-694239482
-1,345729922,691801787,-1384648206
-1,691119352,1382921139,-2761667746
-1,1381559107,2764480246,-5508143330
-1,2761757633,5526237879,-10986035737
-1,5520798177,11047036056,-21911831524
