SSD,d,P,delta
-1,4,4,3
-1,1,5,3
-1,3,8,4
-1,8,16,9
-1,6,22,9
-1,6,28,4
-1,24,52,8
-1,44,96,12
-1,80,176,15
-1,154,330,21
-1,2,332,-262
-1,2,334,-830
-1,822,1156,-1128
-1,1060,2216,-2268
-1,2084,4300,-4507
-1,4212,8512,-8793
-1,8270,16782,-17519
-1,16606,33388,-34620
-1,33158,66546,-68306
-1,66214,132760,-134660
-1,131836,264596,-265760
-1,263440,528036,-523869
-1,525820,1053856,-1041147
-1,1049556,2103412,-2069289
-1,2094900,4198312,-4112789
-1,4181530,8379842,-8174352
-1,8346454,16726296,-16247240
-1,16659750,33386046,-32293606
-1,33253286,66639332,-64189616
-1,66622550,133261882,-127865658
-1,132997286,266259168,-254944007
-1,265731132,531990300,-508321047
-1,530936444,1062926744,-1013523249
-1,1060823332,2123750076,-2020838809
-1,2119551764,4243301840,-4029321736
-1,4239103528,8482405368,-8029868248
-1,8474025526,16956430894,-16002436686
