SSD,d,P,delta
-1,6,6,5
-1,3,9,7
-1,3,12,8
-1,8,20,13
-1,4,24,11
-1,4,28,4
-1,25,53,9
-1,44,97,13
-1,77,174,13
-1,150,324,15
-1,1,325,-269
-1,1,326,-838
-1,2,328,-1956
-1,1028,1356,-3128
-1,1259,2615,-6192
-1,2532,5147,-12158
-1,4973,10120,-24181
-1,9946,20066,-47942
-1,19957,40023,-94829
-1,39699,79722,-187698
-1,79490,159212,-371144
-1,158887,318099,-733806
-1,317773,635872,-1459131
-1,634516,1270388,-2902313
-1,1267773,2538161,-5772940
-1,2533014,5071175,-11483019
-1,5066028,10137203,-22836333
-1,10127083,20264286,-45415366
-1,20244220,40508506,-90320442
-1,40468483,80976989,-180150551
-1,80897267,161874256,-359328919
-1,161715044,323589300,-716722047
-1,323271201,646860501,-1429589492
-1,646224629,1293085130,-2851503755
-1,1291814742,2584899872,-5687723704
-1,2582361711,5167261583,-11345012033
-1,5164723422,10331985005,-22626882575
