SSD,d,P,delta
-1,6,6,5
-1,4,10,8
-1,2,12,8
-1,2,14,7
-1,3,17,4
-1,11,28,4
-1,22,50,6
-1,40,90,6
-1,78,168,7
-1,151,319,10
-1,1,320,-274
-1,1,321,-843
-1,835,1156,-1128
-1,1066,2222,-2262
-1,2054,4276,-4531
-1,4186,8462,-8843
-1,8243,16705,-17596
-1,16537,33242,-34766
-1,33057,66299,-68553
-1,65979,132278,-135142
-1,131671,263949,-266407
-1,262793,526742,-525163
-1,524520,1051262,-1043741
-1,1046986,2098248,-2074453
-1,2089786,4188034,-4123067
-1,4171329,8359363,-8194831
-1,8326121,16685484,-16288052
-1,16619185,33304669,-32374983
-1,33172391,66477060,-64351888
-1,66460355,132937415,-128190125
-1,132673466,265610881,-255592294
-1,265084139,530695020,-509616327
-1,529643758,1060338778,-1016111215
-1,1058240530,2118579308,-2026009577
-1,2114391274,4232970582,-4039652994
-1,4228782548,8461753130,-8050520486
-1,8453393767,16915146897,-16043720683
