SSD,d,P,delta
-1,4,4,3
-1,6,10,8
-1,6,16,12
-1,7,23,16
-1,5,28,15
-1,8,36,12
-1,20,56,12
-1,46,102,18
-1,79,181,20
-1,158,339,30
-1,1,340,-254
-1,1,341,-823
-1,2,343,-1941
-1,3,346,-4138
-1,1271,1617,-7190
-1,1547,3164,-14141
-1,3062,6226,-28075
-1,6019,12245,-55763
-1,12084,24329,-110523
-1,24147,48476,-218944
-1,48136,96612,-433744
-1,96272,192884,-859021
-1,192703,385587,-1709416
-1,385084,770671,-3402030
-1,769054,1539725,-6771376
-1,1538108,3077833,-13476361
-1,3074669,6152502,-26821034
-1,6146276,12298778,-53380874
-1,12286533,24585311,-106243637
-1,24560982,49146293,-211981247
-1,49097817,98244110,-422959065
-1,98147498,196391608,-843919739
-1,196198724,392590332,-1683859661
-1,392204745,784795077,-3359793808
-1,784024406,1568819483,-6703804093
-1,1568048812,3136868295,-13375405321
-1,3135328570,6272196865,-26686670715
