SSD,d,P,delta
-1,6,6,5
-1,8,14,12
-1,1,15,11
-1,3,18,11
-1,4,22,9
-1,16,38,14
-1,24,62,18
-1,44,106,22
-1,88,194,33
-1,156,350,41
-1,2,352,-242
-1,2,354,-810
-1,846,1200,-1084
-1,1094,2294,-2190
-1,2160,4454,-4353
-1,4348,8802,-8503
-1,8540,17342,-16959
-1,17188,34530,-33478
-1,34268,68798,-66054
-1,68446,137244,-130176
-1,136268,273512,-256844
-1,272312,545824,-506081
-1,543530,1089354,-1005649
-1,1084900,2174254,-1998447
-1,2165452,4339706,-3971395
-1,4322364,8662070,-7892124
-1,8627540,17289610,-15683926
-1,17220812,34510422,-31169230
-1,34373178,68883600,-61945348
-1,68866594,137750194,-123377346
-1,137476682,275226876,-245976299
-1,274681052,549907928,-490403419
-1,548818574,1098726502,-977723491
-1,1096552248,2195278750,-1949310135
-1,2190939044,4386217794,-3886405782
-1,4381878088,8768095882,-7744177734
-1,8759433812,17527529694,-15431337886
