SSD,d,P,delta
-1,8,8,7
-1,4,12,10
-1,4,16,12
-1,1,17,10
-1,1,18,5
-1,14,32,8
-1,24,56,12
-1,44,100,16
-1,88,188,27
-1,156,344,35
-1,3,347,-247
-1,3,350,-814
-1,847,1197,-1087
-1,1009,2206,-2278
-1,2166,4372,-4435
-1,4224,8596,-8709
-1,8408,17004,-17297
-1,16904,33908,-34100
-1,33620,67528,-67324
-1,67181,134709,-132711
-1,133698,268407,-261949
-1,267210,535617,-516288
-1,533411,1069028,-1025975
-1,1064656,2133684,-2039017
-1,2125088,4258772,-4052329
-1,4241768,8500540,-8053654
-1,8466632,16967172,-16006364
-1,16899644,33866816,-31812836
-1,33732107,67598923,-63230025
-1,67581919,135180842,-125946698
-1,134912435,270093277,-251109898
-1,269557660,539650937,-500660410
-1,538581909,1078232846,-998217147
-1,1076099162,2154332008,-1990256877
-1,2150073236,4304405244,-3968218332
-1,4300146472,8604551716,-7907721900
-1,8596051176,17200602892,-15758264688
