SSD,d,P,delta
-1,3,3,2
-1,4,7,5
-1,2,9,5
-1,2,11,4
-1,8,19,6
-1,12,31,7
-1,22,53,9
-1,44,97,13
-1,78,175,14
-1,156,331,22
-1,1,332,-262
-1,1,333,-831
-1,813,1146,-1138
-1,1049,2195,-2289
-1,2094,4289,-4518
-1,4192,8481,-8824
-1,8238,16719,-17582
-1,16622,33341,-34667
-1,33074,66415,-68437
-1,66083,132498,-134922
-1,131542,264040,-266316
-1,262894,526934,-524971
-1,524739,1051673,-1043330
-1,1047384,2099057,-2073644
-1,2090576,4189633,-4121468
-1,4172914,8362547,-8191647
-1,8329206,16691753,-16281783
-1,16625338,33317091,-32362561
-1,33184593,66501684,-64327264
-1,66484965,132986649,-128140891
-1,132722609,265709258,-255493917
-1,265182324,530891582,-509419765
-1,529839909,1060731491,-1015718502
-1,1058632434,2119363925,-2025224960
-1,2115174292,4234538217,-4038085359
-1,4230348584,8464886801,-8047386815
-1,8456524254,16921411055,-16037456525
