SSD,d,P,delta
-1,6,6,5
-1,4,10,8
-1,2,12,8
-1,2,14,7
-1,9,23,10
-1,5,28,4
-1,22,50,6
-1,40,90,6
-1,78,168,7
-1,151,319,10
-1,1,320,-274
-1,1,321,-843
-1,835,1156,-1128
-1,1066,2222,-2262
-1,2054,4276,-4531
-1,4186,8462,-8843
-1,8232,16694,-17607
-1,16604,33298,-34710
-1,33054,66352,-68500
-1,66032,132384,-135036
-1,131758,264142,-266214
-1,262986,527128,-524777
-1,524906,1052034,-1042969
-1,1047758,2099792,-2072909
-1,2091330,4191122,-4119979
-1,4174428,8365550,-8188644
-1,8332252,16697802,-16275734
-1,16631450,33329252,-32350400
-1,33196868,66526120,-64302828
-1,66509426,133035546,-128091994
-1,132771404,265806950,-255396225
-1,265279822,531086772,-509224575
-1,530034738,1061121510,-1015328483
-1,1059021718,2120143228,-2024445657
-1,2115952106,4236095334,-4036528242
-1,4231904212,8467999546,-8044274070
-1,8459633996,16927633542,-16031234038
