SSD,d,P,delta
-1,5,5,4
-1,6,11,9
-1,8,19,15
-1,4,23,16
-1,4,27,14
-1,16,43,19
-1,24,67,23
-1,44,111,27
-1,88,199,38
-1,156,355,46
-1,1,356,-238
-1,1,357,-807
-1,2,359,-1925
-1,3,362,-4122
-1,1311,1673,-7134
-1,1562,3235,-14070
-1,3124,6359,-27942
-1,6198,12557,-55451
-1,12380,24937,-109915
-1,24692,49629,-217791
-1,49490,99119,-431237
-1,98763,197882,-854023
-1,197526,395408,-1699595
-1,395051,790459,-3382242
-1,788902,1579361,-6731740
-1,1577688,3157049,-13397145
-1,3153814,6310863,-26662673
-1,6304504,12615367,-53064285
-1,12602810,25218177,-105610771
-1,25193240,50411417,-210716123
-1,50361788,100773205,-420429970
-1,100674086,201447291,-838864056
-1,201249409,402696700,-1673753293
-1,402301292,804997992,-3339590893
-1,804207533,1609205525,-6663418051
-1,1609007643,3218213168,-13294060448
-1,3216633807,6434846975,-26524020605
