SSD,d,P,delta
-1,7,7,6
-1,8,15,13
-1,4,19,15
-1,4,23,16
-1,6,29,16
-1,10,39,15
-1,24,63,19
-1,44,107,23
-1,78,185,24
-1,156,341,32
-1,1,342,-252
-1,1,343,-821
-1,2,345,-1939
-1,3,348,-4136
-1,1255,1603,-7204
-1,1540,3143,-14162
-1,3036,6179,-28122
-1,5978,12157,-55851
-1,11995,24152,-110700
-1,23964,48116,-219304
-1,47774,95890,-434466
-1,95549,191439,-860466
-1,191253,382692,-1712311
-1,382349,765041,-3407660
-1,763552,1528593,-6782508
-1,1526990,3055583,-13498611
-1,3052440,6108023,-26865513
-1,6101844,12209867,-53469785
-1,12197710,24407577,-106421371
-1,24383425,48791002,-212336538
-1,48742886,97533888,-423669287
-1,97437998,194971886,-845339461
-1,194780447,389752333,-1686697660
-1,389369641,779121974,-3365466911
-1,778356933,1557478907,-6715144669
-1,1557383017,3114861924,-13397411692
-1,3113333331,6228195255,-26730672325
