SSD,d,P,delta
-1,5,5,4
-1,7,12,10
-1,4,16,12
-1,8,24,17
-1,2,26,13
-1,6,32,8
-1,32,64,20
-1,48,112,28
-1,88,200,39
-1,176,376,67
-1,1,377,-217
-1,1,378,-786
-1,889,1267,-1017
-1,1155,2422,-2062
-1,2302,4724,-4083
-1,4660,9384,-7921
-1,9066,18450,-15851
-1,18358,36808,-31200
-1,36506,73314,-61538
-1,72937,146251,-121169
-1,145514,291765,-238591
-1,290498,582263,-469642
-1,579841,1162104,-932899
-1,1157380,2319484,-1853217
-1,2310100,4629584,-3681517
-1,4611134,9240718,-7313476
-1,9203910,18444628,-14528908
-1,18371314,36815942,-28863710
-1,36669691,73485633,-57343315
-1,73467183,146952816,-114174724
-1,146661051,293613867,-227589308
-1,293031604,586645471,-453665876
-1,585483367,1172128838,-904321155
-1,1169809354,2341938192,-1802650693
-1,2337308608,4679246800,-3593376776
-1,4674617216,9353864016,-7158409600
-1,9344623298,18698487314,-14260380266
