SSD,d,P,delta
-1,5,5,4
-1,4,9,7
-1,2,11,7
-1,2,13,6
-1,8,21,8
-1,12,33,9
-1,22,55,11
-1,44,99,15
-1,78,177,16
-1,156,333,24
-1,1,334,-260
-1,1,335,-829
-1,813,1148,-1136
-1,1049,2197,-2287
-1,2086,4283,-4524
-1,4192,8475,-8830
-1,8310,16785,-17516
-1,16608,33393,-34615
-1,33124,66517,-68335
-1,66183,132700,-134720
-1,131710,264410,-265946
-1,263262,527672,-524233
-1,525475,1053147,-1041856
-1,1048864,2102011,-2070690
-1,2093536,4195547,-4115554
-1,4178762,8374309,-8179885
-1,8340916,16715225,-16258311
-1,16648708,33363933,-32315719
-1,33231233,66595166,-64233782
-1,66590905,133186071,-127941469
-1,132921661,266107732,-255095443
-1,265580060,531687792,-508623555
-1,530634645,1062322437,-1014127556
-1,1061269290,2123591727,-2020997158
-1,2121489716,4245081443,-4027542133
-1,4240885896,8485967339,-8026306277
-1,8477593030,16963560369,-15995307211
