SSD,d,P,delta
-1,7,7,6
-1,4,11,9
-1,2,13,9
-1,2,15,8
-1,8,23,10
-1,12,35,11
-1,22,57,13
-1,44,101,17
-1,78,179,18
-1,156,335,26
-1,1,336,-258
-1,1,337,-827
-1,813,1150,-1134
-1,1049,2199,-2285
-1,2064,4263,-4544
-1,4184,8447,-8858
-1,8290,16737,-17564
-1,16558,33295,-34713
-1,33024,66319,-68533
-1,65983,132302,-135118
-1,131966,264268,-266088
-1,263118,527386,-524519
-1,525187,1052573,-1042430
-1,1048310,2100883,-2071818
-1,2096620,4197503,-4113598
-1,4189056,8386559,-8167635
-1,8369822,16756381,-16217155
-1,16723086,33479467,-32200185
-1,33413148,66892615,-63936333
-1,66760313,133652928,-127474612
-1,133388660,267041588,-254161587
-1,266514202,533555790,-506755557
-1,532503217,1066059007,-1010390986
-1,1065006434,2131065441,-2013523444
-1,2128964558,4260029999,-4012593577
-1,4255832496,8515862495,-7996411121
-1,8507475936,17023338431,-15935529149
