SSD,d,P,delta
-1,1,1,0
-1,8,9,7
-1,4,13,9
-1,4,17,10
-1,6,23,10
-1,10,33,9
-1,24,57,13
-1,44,101,17
-1,78,179,18
-1,156,335,26
-1,2,337,-257
-1,2,339,-825
-1,816,1155,-1129
-1,1054,2209,-2275
-1,2074,4283,-4524
-1,4206,8489,-8816
-1,8230,16719,-17582
-1,16540,33259,-34749
-1,33034,66293,-68559
-1,65956,132249,-135171
-1,131304,263553,-266803
-1,262398,525951,-525954
-1,523742,1049693,-1045310
-1,1045410,2095103,-2077598
-1,2086614,4181717,-4129384
-1,4164998,8346715,-8207479
-1,8313456,16660171,-16313365
-1,16593878,33254049,-32425603
-1,33121800,66375849,-64453099
-1,66359130,132734979,-128392561
-1,132471426,265206405,-255996770
-1,264680454,529886859,-510424488
-1,528837166,1058724025,-1017725968
-1,1056628922,2115352947,-2029235938
-1,2111171230,4226524177,-4046099399
-1,4222342460,8448866637,-8063406979
-1,8440519922,16889386559,-16069481021
