SSD,d,P,delta
-1,3,3,2
-1,3,6,4
-1,7,13,9
-1,5,18,11
-1,5,23,10
-1,14,37,13
-1,24,61,17
-1,43,104,20
-1,91,195,34
-1,177,372,63
-1,1,373,-221
-1,1,374,-790
-1,2,376,-1908
-1,1070,1446,-3038
-1,1409,2855,-5952
-1,2775,5630,-11675
-1,5505,11135,-23166
-1,10940,22075,-45933
-1,21901,43976,-90876
-1,43621,87597,-179823
-1,87315,174912,-355444
-1,174539,349451,-702454
-1,348064,697515,-1397488
-1,696069,1393584,-2779117
-1,1390729,2784313,-5526788
-1,2778683,5562996,-10991198
-1,5551861,11114857,-21858679
-1,11092782,22207639,-43472013
-1,22163663,44371302,-86457646
-1,44283705,88655007,-172472533
-1,88480095,177135102,-344068073
-1,176785651,353920753,-686390594
-1,353909618,707830371,-1368619622
-1,707132856,1414963227,-2729625658
-1,1413569643,2828532870,-5444090706
-1,2825748557,5654281427,-10857992189
-1,5648718431,11302999858,-21655867722
