SSD,d,P,delta
-1,4,4,3
-1,2,6,4
-1,5,11,7
-1,9,20,13
-1,8,28,15
-1,8,36,12
-1,32,68,24
-1,48,116,32
-1,88,204,43
-1,176,380,71
-1,1,381,-213
-1,1,382,-782
-1,889,1271,-1013
-1,1155,2426,-2058
-1,2302,4728,-4079
-1,4660,9388,-7917
-1,9220,18608,-15693
-1,18398,37006,-31002
-1,36680,73686,-61166
-1,73305,146991,-120429
-1,146610,293601,-236755
-1,292330,585931,-465974
-1,583505,1169436,-925567
-1,1164708,2334144,-1838557
-1,2324756,4658900,-3652201
-1,4656797,9315697,-7238497
-1,9297089,18612786,-14360750
-1,18575780,37188566,-28491086
-1,37114880,74303446,-56525502
-1,74156455,148459901,-112667639
-1,148166300,296626201,-224576974
-1,296040270,592666471,-447644876
-1,592080540,1184747011,-891702982
-1,1183577607,2368324618,-1776264267
-1,2366282772,4734607390,-3538016186
-1,4729948490,9464555880,-7047717736
-1,9455240183,18919796063,-14039071517
