SSD,d,P,delta
-1,3,3,2
-1,5,8,6
-1,4,12,8
-1,4,16,9
-1,6,22,9
-1,10,32,8
-1,24,56,12
-1,44,100,16
-1,78,178,17
-1,156,334,25
-1,1,335,-259
-1,1,336,-828
-1,2,338,-1946
-1,1051,1389,-3095
-1,1255,2644,-6163
-1,2568,5212,-12093
-1,5112,10324,-23977
-1,10146,20470,-47538
-1,20296,40766,-94086
-1,40544,81310,-186110
-1,80985,162295,-368061
-1,161960,324255,-727650
-1,323919,648174,-1446829
-1,646785,1294959,-2877742
-1,1292315,2587274,-5723827
-1,2585885,5173159,-11381035
-1,5167947,10341106,-22632430
-1,10330782,20671888,-45007764
-1,20651418,41323306,-89505642
-1,41282540,82605846,-178521694
-1,82524536,165130382,-356072793
-1,164968087,330098469,-710212878
-1,329774214,659872683,-1416577310
-1,659224509,1319097192,-2825491693
-1,1318449018,2637546210,-5635077366
-1,2636251251,5273797461,-11238476155
-1,5271210187,10545007648,-22413859932
