SSD,d,P,delta
-1,3,3,2
-1,7,10,8
-1,6,16,12
-1,8,24,17
-1,8,32,19
-1,4,36,12
-1,28,64,20
-1,48,112,28
-1,88,200,39
-1,176,376,67
-1,1,377,-217
-1,1,378,-786
-1,2,380,-1904
-1,1067,1447,-3037
-1,1383,2830,-5977
-1,2758,5588,-11717
-1,5312,10900,-23401
-1,10788,21688,-46320
-1,21564,43252,-91600
-1,42996,86248,-181172
-1,85891,172139,-358217
-1,171762,343901,-708004
-1,342507,686408,-1408595
-1,684961,1371369,-2801332
-1,1368539,2739908,-5571193
-1,2734320,5474228,-11079966
-1,5463328,10937556,-22035980
-1,10915868,21853424,-43826228
-1,21810172,43663596,-87165352
-1,43577348,87240944,-173886596
-1,87068805,174309749,-346893426
-1,173965848,348275597,-692035750
-1,348274048,696549645,-1379900348
-1,695863237,1392412882,-2752176003
-1,1391041513,2783454395,-5489169181
-1,2782767987,5566222382,-10946051234
-1,5563482474,11129704856,-21829162724
