SSD,d,P,delta
-1,5,5,4
-1,3,8,6
-1,2,10,6
-1,2,12,5
-1,4,16,3
-1,11,27,3
-1,22,49,5
-1,39,88,4
-1,76,164,3
-1,148,312,3
-1,1,313,-281
-1,1,314,-850
-1,818,1132,-1152
-1,1044,2176,-2308
-1,2012,4188,-4619
-1,4100,8288,-9017
-1,8074,16362,-17939
-1,16274,32636,-35372
-1,32378,65014,-69838
-1,64701,129715,-137705
-1,129122,258837,-271519
-1,257705,516542,-535363
-1,514366,1030908,-1064095
-1,1026720,2057628,-2115073
-1,2049340,4106968,-4204133
-1,4090606,8197574,-8356620
-1,8164938,16362512,-16611024
-1,16297498,32660010,-33019642
-1,32530295,65190305,-65638643
-1,65173943,130364248,-130763292
-1,130105411,260469659,-260733516
-1,259953117,520422776,-519888571
-1,519391868,1039814644,-1036635349
-1,1037757016,2077571660,-2067017225
-1,2073464692,4151036352,-4121587224
-1,4146929384,8297965736,-8214307880
-1,8289768162,16587733898,-16371133682
