SSD,d,P,delta
-1,2,2,1
-1,4,6,4
-1,7,13,9
-1,9,22,15
-1,8,30,17
-1,8,38,14
-1,32,70,26
-1,48,118,34
-1,88,206,45
-1,176,382,73
-1,1,383,-211
-1,1,384,-780
-1,889,1273,-1011
-1,1155,2428,-2056
-1,2310,4738,-4069
-1,4620,9358,-7947
-1,9228,18586,-15715
-1,18380,36966,-31042
-1,36584,73550,-61302
-1,73167,146717,-120703
-1,146334,293051,-237305
-1,291778,584829,-467076
-1,582401,1167230,-927773
-1,1162492,2329722,-1842979
-1,2320364,4650086,-3661015
-1,4631500,9281586,-7272608
-1,9244620,18526206,-14447330
-1,18489240,37015446,-28664206
-1,36941896,73957342,-56871606
-1,73810625,147767967,-113359573
-1,147474916,295242883,-225960292
-1,294658054,589900937,-450410410
-1,588733707,1178634644,-897815349
-1,1176304922,2354939566,-1789649319
-1,2350289480,4705229046,-3567394530
-1,4695947460,9401176506,-7111097110
-1,9391894920,18793071426,-14165796154
