SSD,d,P,delta
-1,6,6,5
-1,3,9,7
-1,5,14,10
-1,4,18,11
-1,4,22,9
-1,16,38,14
-1,24,62,18
-1,44,106,22
-1,88,194,33
-1,156,350,41
-1,1,351,-243
-1,1,352,-812
-1,2,354,-1930
-1,1091,1445,-3039
-1,1335,2780,-6027
-1,2674,5454,-11851
-1,5304,10758,-23543
-1,10556,21314,-46694
-1,21194,42508,-92344
-1,42180,84688,-182732
-1,84425,169113,-361243
-1,168762,337875,-714030
-1,336497,674372,-1420631
-1,672927,1347299,-2825402
-1,1344519,2691818,-5619283
-1,2686364,5378182,-11176012
-1,5367424,10745606,-22227930
-1,10724292,21469898,-44209754
-1,21427390,42897288,-87931660
-1,42812600,85709888,-175417652
-1,85540775,171250663,-349952512
-1,170912788,342163451,-698147896
-1,341994338,684157789,-1392292204
-1,683483417,1367641206,-2776947679
-1,1366293907,2733935113,-5538688463
-1,2731243295,5465178408,-11047095208
-1,5459800226,10924978634,-22033888946
