SSD,d,P,delta
-1,6,6,5
-1,3,9,7
-1,9,18,14
-1,4,22,15
-1,8,30,17
-1,8,38,14
-1,32,70,26
-1,48,118,34
-1,88,206,45
-1,176,382,73
-1,1,383,-211
-1,1,384,-780
-1,2,386,-1898
-1,1155,1541,-2943
-1,1415,2956,-5851
-1,2858,5814,-11491
-1,5528,11342,-22959
-1,11224,22566,-45442
-1,22292,44858,-89994
-1,44672,89530,-177890
-1,89311,178841,-351515
-1,178458,357299,-694606
-1,355761,713060,-1381943
-1,712309,1425369,-2747332
-1,1422413,2847782,-5463319
-1,2841968,5689750,-10864444
-1,5678408,11368158,-21605378
-1,11345592,22713750,-42965902
-1,22668892,45382642,-85446306
-1,45293112,90675754,-170451786
-1,90496913,181172667,-340030508
-1,180815368,361988035,-678323312
-1,361976693,723964728,-1352485265
-1,723251668,1447216396,-2697372489
-1,1445791027,2893007423,-5379616153
-1,2890159641,5783167064,-10729106552
-1,5777477314,11560644378,-21398223202
