SSD,d,P,delta
-1,5,5,4
-1,3,8,6
-1,4,12,8
-1,4,16,9
-1,2,18,5
-1,14,32,8
-1,24,56,12
-1,44,100,16
-1,88,188,27
-1,156,344,35
-1,1,345,-249
-1,1,346,-818
-1,845,1191,-1093
-1,1003,2194,-2290
-1,2154,4348,-4459
-1,4292,8640,-8665
-1,8516,17156,-17145
-1,16918,34074,-33934
-1,33780,67854,-66998
-1,67509,135363,-132057
-1,134358,269721,-260635
-1,268530,538251,-513654
-1,536057,1074308,-1020695
-1,1069960,2144268,-2028433
-1,2135628,4279896,-4031205
-1,4262740,8542636,-8011558
-1,8508562,17051198,-15922338
-1,16983344,34034542,-31645110
-1,33899179,67933721,-62895227
-1,67930033,135863754,-125263786
-1,135594033,271457787,-249745388
-1,270919536,542377323,-497934024
-1,541303015,1083680338,-992769655
-1,1082606030,2166286368,-1978302517
-1,2164142100,4330428468,-3942195108
-1,4326148572,8656577040,-7855696576
-1,8648034404,17304611444,-15654256136
