SSD,d,P,delta
-1,7,7,6
-1,3,10,8
-1,6,16,12
-1,4,20,13
-1,4,24,11
-1,8,32,8
-1,22,54,10
-1,44,98,14
-1,78,176,15
-1,152,328,19
-1,1,329,-265
-1,1,330,-834
-1,2,332,-1952
-1,1045,1377,-3107
-1,1201,2578,-6229
-1,2480,5058,-12247
-1,4960,10018,-24283
-1,9842,19860,-48148
-1,19732,39592,-95260
-1,39372,78964,-188456
-1,78643,157607,-372749
-1,157278,314885,-737020
-1,313661,628546,-1466457
-1,627169,1255715,-2916986
-1,1253137,2508852,-5802249
-1,2503794,5012646,-11541548
-1,5002628,10015274,-22958262
-1,9995414,20010688,-45668964
-1,19971096,39981784,-90847164
-1,39902820,79884604,-181242936
-1,79726997,159611601,-361591574
-1,159296716,318908317,-721403030
-1,318750710,637659027,-1438790966
-1,637030481,1274689508,-2869899377
-1,1273433793,2548123301,-5724500275
-1,2545614449,5093737750,-11418535866
-1,5088725104,10182462854,-22776404726
