SSD,d,P,delta
-1,3,3,2
-1,4,7,5
-1,4,11,7
-1,8,19,12
-1,6,25,12
-1,6,31,7
-1,24,55,11
-1,44,99,15
-1,80,179,18
-1,154,333,24
-1,1,334,-260
-1,1,335,-829
-1,2,337,-1947
-1,1057,1394,-3090
-1,1259,2653,-6154
-1,2586,5239,-12066
-1,5076,10315,-23986
-1,10180,20495,-47513
-1,20336,40831,-94021
-1,40506,81337,-186083
-1,81103,162440,-367916
-1,162106,324546,-727359
-1,323619,648165,-1446838
-1,646771,1294936,-2877765
-1,1292283,2587219,-5723882
-1,2581980,5169199,-11384995
-1,5158884,10328083,-22645453
-1,10307588,20635671,-45043981
-1,20594840,41230511,-89598437
-1,41149174,82379685,-178747855
-1,82217245,164596930,-356606245
-1,164272384,328869314,-711442033
-1,328867297,657736611,-1418713382
-1,657088446,1314825057,-2829763828
-1,1313530121,2628355178,-5644268398
-1,2627060242,5255415420,-11256858196
-1,5252828201,10508243621,-22450623959
