SSD,d,P,delta
-1,6,6,5
-1,3,9,7
-1,7,16,12
-1,8,24,17
-1,8,32,19
-1,4,36,12
-1,28,64,20
-1,48,112,28
-1,88,200,39
-1,176,376,67
-1,1,377,-217
-1,1,378,-786
-1,2,380,-1904
-1,1155,1535,-2949
-1,1415,2950,-5857
-1,2870,5820,-11485
-1,5694,11514,-22787
-1,11254,22768,-45240
-1,22568,45336,-89516
-1,45128,90464,-176956
-1,90107,180571,-349785
-1,180194,360765,-691140
-1,360387,721152,-1373851
-1,719617,1440769,-2731932
-1,1437819,2878588,-5432513
-1,2872768,5751356,-10802838
-1,5748454,11499810,-21473726
-1,11488296,22988106,-42691546
-1,22965338,45953444,-84875504
-1,45908108,91861552,-169265988
-1,91771088,183632640,-337570535
-1,183452069,367084709,-673226638
-1,366723944,733808653,-1342641340
-1,733087501,1466896154,-2677692731
-1,1465455385,2932351539,-5340272037
-1,2930910770,5863262309,-10649011307
-1,5860383721,11723646030,-21235221550
