SSD,d,P,delta
-1,2,2,1
-1,7,9,7
-1,9,18,14
-1,8,26,19
-1,8,34,21
-1,4,38,14
-1,28,66,22
-1,48,114,30
-1,88,202,41
-1,176,378,69
-1,1,379,-215
-1,1,380,-784
-1,889,1269,-1015
-1,1067,2336,-2148
-1,2270,4606,-4201
-1,4468,9074,-8231
-1,8864,17938,-16363
-1,17768,35706,-32302
-1,35440,71146,-63706
-1,70767,141913,-125507
-1,141212,283125,-247231
-1,281856,564981,-486924
-1,562645,1127626,-967377
-1,1123020,2250646,-1922055
-1,2241572,4492218,-3818883
-1,4474280,8966498,-7587696
-1,8930792,17897290,-15076246
-1,17826144,35723434,-29956218
-1,35581521,71304955,-59523993
-1,71287017,142591972,-118535568
-1,142308847,284900819,-236302356
-1,284335838,569236657,-471074690
-1,568109031,1137345688,-939104305
-1,1135095042,2272440730,-1872148155
-1,2267948512,4540389242,-3732234334
-1,4535897024,9076286266,-7435987350
-1,9067319768,18143606034,-14815261546
