SSD,d,P,delta
-1,6,6,5
-1,5,11,9
-1,3,14,10
-1,4,18,11
-1,4,22,9
-1,16,38,14
-1,24,62,18
-1,44,106,22
-1,88,194,33
-1,156,350,41
-1,1,351,-243
-1,1,352,-812
-1,2,354,-1930
-1,1091,1445,-3039
-1,1311,2756,-6051
-1,2694,5450,-11855
-1,5344,10794,-23507
-1,10534,21328,-46680
-1,21200,42528,-92324
-1,42200,84728,-182692
-1,84465,169193,-361163
-1,168842,338035,-713870
-1,337683,675718,-1419285
-1,674273,1349991,-2822710
-1,1347235,2697226,-5613875
-1,2691776,5389002,-11165192
-1,5383552,10772554,-22200982
-1,10761760,21534314,-44145338
-1,21512986,43047300,-87781648
-1,43004772,86052072,-175075468
-1,85967344,172019416,-349183759
-1,171850223,343869639,-696441708
-1,343531604,687401243,-1389048750
-1,686725525,1374126768,-2770462117
-1,1372776777,2746903545,-5525720031
-1,2744206319,5491109864,-11021163752
-1,5488412638,10979522502,-21979345078
