SSD,d,P,delta
-1,3,3,2
-1,5,8,6
-1,4,12,8
-1,4,16,9
-1,2,18,5
-1,14,32,8
-1,24,56,12
-1,44,100,16
-1,88,188,27
-1,156,344,35
-1,1,345,-249
-1,1,346,-818
-1,845,1191,-1093
-1,1003,2194,-2290
-1,2162,4356,-4451
-1,4256,8612,-8693
-1,8468,17080,-17221
-1,16892,33972,-34036
-1,33686,67658,-67194
-1,67313,134971,-132449
-1,133964,268935,-261421
-1,267744,536679,-515226
-1,534485,1071164,-1023839
-1,1066808,2137972,-2034729
-1,2129360,4267332,-4043769
-1,4250252,8517584,-8036610
-1,8483612,17001196,-15972340
-1,16933538,33934734,-31744918
-1,33799763,67734497,-63094451
-1,67730141,135464638,-125662902
-1,135195703,270660341,-250542834
-1,270123662,540784003,-499527344
-1,539712839,1080496842,-995953151
-1,1079425678,2159922520,-1984666365
-1,2157784548,4317707068,-3954916508
-1,4313439736,8631146804,-7881126812
-1,8622629220,17253776024,-15705091556
