SSD,d,P,delta
-1,3,3,2
-1,8,11,9
-1,4,15,11
-1,4,19,12
-1,2,21,8
-1,14,35,11
-1,24,59,15
-1,44,103,19
-1,88,191,30
-1,156,347,38
-1,1,348,-246
-1,1,349,-815
-1,845,1194,-1090
-1,1003,2197,-2287
-1,2162,4359,-4448
-1,4300,8659,-8646
-1,8522,17181,-17120
-1,16926,34107,-33901
-1,33840,67947,-66905
-1,67599,135546,-131874
-1,135198,270744,-259612
-1,269550,540294,-511611
-1,538097,1078391,-1016612
-1,1074032,2152423,-2020278
-1,2143764,4296187,-4014914
-1,4293990,8590177,-7964017
-1,8572996,17163173,-15810363
-1,17129066,34292239,-31387413
-1,34224292,68516531,-62312417
-1,68380985,136897516,-124230024
-1,136626772,273524288,-247678887
-1,272983994,546508282,-493803065
-1,545967988,1092476270,-983973723
-1,1091397879,2183874149,-1960714736
-1,2181721726,4365595875,-3907027701
-1,4361299688,8726895563,-7785378053
-1,8718305386,17445200949,-15513666631
