SSD,d,P,delta
-1,7,7,6
-1,4,11,9
-1,4,15,11
-1,8,23,16
-1,6,29,16
-1,6,35,11
-1,24,59,15
-1,44,103,19
-1,80,183,22
-1,154,337,28
-1,1,338,-256
-1,1,339,-825
-1,2,341,-1943
-1,3,344,-4140
-1,1259,1603,-7204
-1,1530,3133,-14172
-1,3016,6149,-28152
-1,5966,12115,-55893
-1,11956,24071,-110781
-1,23882,47953,-219467
-1,47615,95568,-434788
-1,95230,190798,-861107
-1,190459,381257,-1713746
-1,380916,762173,-3410528
-1,760570,1522743,-6788358
-1,1521140,3043883,-13510311
-1,3040750,6084633,-26888903
-1,6078484,12163117,-53516535
-1,12151002,24314119,-106514829
-1,24290048,48604167,-212523373
-1,48556214,97160381,-424042794
-1,97064813,194225194,-846086153
-1,194034396,388259590,-1688190403
-1,387878333,776137923,-3368450962
-1,775375750,1551513673,-6721109903
-1,1550751500,3102265173,-13410008443
-1,3100742430,6203007603,-26755859977
