SSD,d,P,delta
-1,5,5,4
-1,7,12,10
-1,3,15,11
-1,3,18,11
-1,6,24,11
-1,14,38,14
-1,23,61,17
-1,43,104,20
-1,89,193,32
-1,155,348,39
-1,1,349,-245
-1,1,350,-814
-1,2,352,-1932
-1,1088,1440,-3044
-1,1336,2776,-6031
-1,2682,5458,-11847
-1,5289,10747,-23554
-1,10597,21344,-46664
-1,21169,42513,-92339
-1,42189,84702,-182718
-1,84441,169143,-361213
-1,168794,337937,-713968
-1,337587,675524,-1419479
-1,674084,1349608,-2823093
-1,1346832,2696440,-5614661
-1,2690982,5387422,-11166772
-1,5384703,10772125,-22201411
-1,10761378,21533503,-44146149
-1,21512159,43045662,-87783286
-1,43003149,86048811,-175078729
-1,85964109,172012920,-349190255
-1,171843777,343856697,-696454650
-1,343518760,687375457,-1389074536
-1,686699933,1374075390,-2770513495
-1,1372725782,2746801172,-5525822404
-1,2745451564,5492252736,-11020020880
-1,5489556296,10981809032,-21977058548
