SSD,d,P,delta
-1,2,2,1
-1,2,4,2
-1,4,8,4
-1,3,11,4
-1,3,14,1
-1,12,26,2
-1,22,48,4
-1,40,88,4
-1,77,165,4
-1,154,319,10
-1,1,320,-274
-1,1,321,-843
-1,836,1157,-1127
-1,1069,2226,-2258
-1,2061,4287,-4520
-1,4233,8520,-8785
-1,8277,16797,-17504
-1,16632,33429,-34579
-1,33237,66666,-68186
-1,66346,133012,-134408
-1,132088,265100,-265256
-1,263943,529043,-522862
-1,526817,1055860,-1039143
-1,1051573,2107433,-2065268
-1,2098913,4206346,-4104755
-1,4189549,8395895,-8158299
-1,8362466,16758361,-16215175
-1,16691695,33450056,-32229596
-1,33317044,66767100,-64061848
-1,66763417,133530517,-127597023
-1,133265417,266795934,-254407241
-1,266266891,533062825,-507248522
-1,532006965,1065069790,-1011380203
-1,1064013930,2129083720,-2015505165
-1,2126976287,4256060007,-4016563569
-1,4251853661,8507913668,-8004359948
-1,8499517773,17007431441,-15951436139
