SSD,d,P,delta
-1,7,7,6
-1,2,9,7
-1,8,17,13
-1,4,21,14
-1,4,25,12
-1,16,41,17
-1,24,65,21
-1,44,109,25
-1,88,197,36
-1,156,353,44
-1,1,354,-240
-1,1,355,-809
-1,845,1200,-1084
-1,1003,2203,-2281
-1,2138,4341,-4466
-1,4200,8541,-8764
-1,8344,16885,-17416
-1,16720,33605,-34403
-1,33392,66997,-67855
-1,66643,133640,-133780
-1,132956,266596,-263760
-1,265396,531992,-519913
-1,529789,1061781,-1033222
-1,1057440,2119221,-2053480
-1,2110680,4229901,-4081200
-1,4213016,8442917,-8111277
-1,8409312,16852229,-16121307
-1,16785232,33637461,-32042191
-1,33503821,67141282,-63687666
-1,67124397,134265679,-126861861
-1,133999083,268264762,-252938413
-1,267732770,535997532,-504313815
-1,534935751,1070933283,-1005516710
-1,1068814062,2139747345,-2004841540
-1,2135517444,4275264789,-3997358787
-1,4271034888,8546299677,-7965973939
-1,8537856760,17084156437,-15874711143
