SSD,d,P,delta
-1,2,2,1
-1,9,11,9
-1,7,18,14
-1,8,26,19
-1,8,34,21
-1,4,38,14
-1,28,66,22
-1,48,114,30
-1,88,202,41
-1,176,378,69
-1,1,379,-215
-1,1,380,-784
-1,889,1269,-1015
-1,1155,2424,-2060
-1,2302,4726,-4081
-1,4646,9372,-7933
-1,9216,18588,-15713
-1,18348,36936,-31072
-1,36643,73579,-61273
-1,73377,146956,-120464
-1,145687,292643,-237713
-1,291374,584017,-467888
-1,581593,1165610,-929393
-1,1160884,2326494,-1846207
-1,2317122,4643616,-3667485
-1,4625028,9268644,-7285550
-1,9231708,18500352,-14473184
-1,18426773,36927125,-28752527
-1,36780169,73707294,-57121654
-1,73633715,147341009,-113786531
-1,147048366,294389375,-226813800
-1,293805358,588194733,-452116614
-1,587029123,1175223856,-901226137
-1,1172897362,2348121218,-1796467667
-1,2343477602,4691598820,-3581024756
-1,4682330176,9373928996,-7138344620
-1,9355428644,18729357640,-14229509940
