SSD,d,P,delta
-1,3,3,2
-1,8,11,9
-1,4,15,11
-1,4,19,12
-1,6,25,12
-1,10,35,11
-1,24,59,15
-1,44,103,19
-1,78,181,20
-1,156,337,28
-1,1,338,-256
-1,1,339,-825
-1,2,341,-1943
-1,1051,1392,-3092
-1,1279,2671,-6136
-1,2568,5239,-12066
-1,5136,10375,-23926
-1,10150,20525,-47483
-1,20398,40923,-93929
-1,40598,81521,-185899
-1,81337,162858,-367498
-1,162520,325378,-726527
-1,324387,649765,-1445238
-1,648373,1298138,-2874563
-1,1295467,2593605,-5717496
-1,2588366,5181971,-11372223
-1,5171596,10353567,-22619969
-1,10333042,20686609,-44993043
-1,20645686,41332295,-89496653
-1,41250774,82583069,-178544471
-1,82420211,165003280,-356199895
-1,164677902,329681182,-710630165
-1,329678511,659359693,-1417090300
-1,658709928,1318069621,-2826519264
-1,1316771483,2634841104,-5637782472
-1,2633542966,5268384070,-11243889546
-1,5265790465,10534174535,-22424693045
