SSD,d,P,delta
-1,7,7,6
-1,8,15,13
-1,2,17,13
-1,2,19,12
-1,4,23,10
-1,16,39,15
-1,22,61,17
-1,44,105,21
-1,86,191,30
-1,152,343,34
-1,1,344,-250
-1,1,345,-819
-1,825,1170,-1114
-1,1065,2235,-2249
-1,2126,4361,-4446
-1,4256,8617,-8688
-1,8492,17109,-17192
-1,16788,33897,-34111
-1,33704,67601,-67251
-1,67257,134858,-132562
-1,134514,269372,-260984
-1,268202,537574,-514331
-1,535339,1072913,-1022090
-1,1068552,2141465,-2031236
-1,2132848,4274313,-4036788
-1,4269952,8544265,-8009929
-1,8527156,17071421,-15902115
-1,17037524,34108945,-31570707
-1,34041344,68150289,-62678659
-1,68015431,136165720,-124961820
-1,135896348,272062068,-249141107
-1,271524494,543586562,-496724785
-1,542513649,1086100211,-990349782
-1,1085027298,2171127509,-1973461376
-1,2168986044,4340113553,-3932510023
-1,4335839240,8675952793,-7836320823
-1,8667408528,17343361321,-15615506259
