SSD,d,P,delta
-1,3,3,2
-1,6,9,7
-1,2,11,7
-1,4,15,8
-1,4,19,6
-1,16,35,11
-1,24,59,15
-1,44,103,19
-1,88,191,30
-1,156,347,38
-1,1,348,-246
-1,1,349,-815
-1,845,1194,-1090
-1,1091,2285,-2199
-1,2178,4463,-4344
-1,4360,8823,-8482
-1,8676,17499,-16802
-1,17298,34797,-33211
-1,34458,69255,-65597
-1,68907,138162,-129258
-1,137814,275976,-254380
-1,274782,550758,-501147
-1,548473,1099231,-995772
-1,1094768,2193999,-1978702
-1,2185176,4379175,-3931926
-1,4361676,8740851,-7813343
-1,8732028,17472879,-15500657
-1,17438082,34910961,-30768691
-1,34841706,69752667,-61076281
-1,69614505,139367172,-121760368
-1,139091196,278458368,-242744807
-1,277907610,556365978,-483945369
-1,555266747,1111632725,-964817268
-1,1109438726,2221071451,-1923517434
-1,2218877452,4439948903,-3832674673
-1,4435569728,8875518631,-7636754985
-1,8866777780,17742296411,-15216571169
