SSD,d,P,delta
-1,2,2,1
-1,2,4,2
-1,4,8,4
-1,6,14,7
-1,9,23,10
-1,3,26,2
-1,22,48,4
-1,40,88,4
-1,80,168,7
-1,151,319,10
-1,1,320,-274
-1,1,321,-843
-1,839,1160,-1124
-1,1072,2232,-2252
-1,2064,4296,-4511
-1,4230,8526,-8779
-1,8271,16797,-17504
-1,16709,33506,-34502
-1,33249,66755,-68097
-1,66435,133190,-134230
-1,132575,265765,-264591
-1,264605,530370,-521535
-1,528138,1058508,-1036495
-1,1054212,2112720,-2059981
-1,2104194,4216914,-4094187
-1,4200117,8417031,-8137163
-1,8383525,16800556,-16172980
-1,16733801,33534357,-32145295
-1,33401167,66935524,-63893424
-1,66918727,133854251,-127273289
-1,133588486,267442737,-253760438
-1,266912367,534355104,-505956243
-1,533296596,1067651700,-1008798293
-1,1065538980,2133190680,-2011398205
-1,2128973766,4262164446,-4010459130
-1,4257947532,8520111978,-7992161638
-1,8511694947,17031806925,-15927060655
