SSD,d,P,delta
-1,6,6,5
-1,3,9,7
-1,3,12,8
-1,7,19,12
-1,5,24,11
-1,5,29,5
-1,23,52,8
-1,43,95,11
-1,76,171,10
-1,147,318,9
-1,1,319,-275
-1,1,320,-844
-1,2,322,-1962
-1,1009,1331,-3153
-1,1226,2557,-6250
-1,2462,5019,-12286
-1,4914,9933,-24368
-1,9762,19695,-48313
-1,19534,39229,-95623
-1,39014,78243,-189177
-1,77924,156167,-374189
-1,155848,312015,-739890
-1,311695,623710,-1471293
-1,622379,1246089,-2926612
-1,1243532,2489621,-5821480
-1,2484602,4974223,-11579971
-1,4969204,9943427,-23030109
-1,9933494,19876921,-45802731
-1,19857226,39734147,-91094801
-1,39694918,79429065,-181698475
-1,79350822,158779887,-362423288
-1,158623720,317403607,-722907740
-1,317091592,634495199,-1441954794
-1,633871489,1268366688,-2876222197
-1,1267120599,2535487287,-5737136289
-1,2532997666,5068484953,-11443788663
-1,5065995332,10134480285,-22824387295
