SSD,d,P,delta
-1,8,8,7
-1,4,12,10
-1,4,16,12
-1,6,22,15
-1,1,23,10
-1,9,32,8
-1,24,56,12
-1,44,100,16
-1,78,178,17
-1,156,334,25
-1,2,336,-258
-1,2,338,-826
-1,816,1154,-1130
-1,1054,2208,-2276
-1,2074,4282,-4525
-1,4206,8488,-8817
-1,8230,16718,-17583
-1,16540,33258,-34750
-1,33034,66292,-68560
-1,65956,132248,-135172
-1,131304,263552,-266804
-1,262398,525950,-525955
-1,523742,1049692,-1045311
-1,1045410,2095102,-2077599
-1,2086614,4181716,-4129385
-1,4164998,8346714,-8207480
-1,8313456,16660170,-16313366
-1,16593878,33254048,-32425604
-1,33121800,66375848,-64453100
-1,66359130,132734978,-128392562
-1,132471426,265206404,-255996771
-1,264680454,529886858,-510424489
-1,528837166,1058724024,-1017725969
-1,1056628922,2115352946,-2029235939
-1,2111171230,4226524176,-4046099400
-1,4222342460,8448866636,-8063406980
-1,8440519922,16889386558,-16069481022
