SSD,d,P,delta
-1,3,3,2
-1,8,11,9
-1,2,13,9
-1,2,15,8
-1,4,19,6
-1,16,35,11
-1,22,57,13
-1,44,101,17
-1,86,187,26
-1,152,339,30
-1,1,340,-254
-1,1,341,-823
-1,825,1166,-1118
-1,1065,2231,-2253
-1,2126,4357,-4450
-1,4256,8613,-8692
-1,8476,17089,-17212
-1,16804,33893,-34115
-1,33640,67533,-67319
-1,67193,134726,-132694
-1,134386,269112,-261244
-1,267946,537058,-514847
-1,534827,1071885,-1023118
-1,1067528,2139413,-2033288
-1,2130800,4270213,-4040888
-1,4253124,8523337,-8030857
-1,8506248,17029585,-15943951
-1,17010550,34040135,-31639517
-1,33972602,68012737,-62816211
-1,67878011,135890748,-125236792
-1,135621636,271512384,-249690791
-1,270975326,542487710,-497823637
-1,541950652,1084438362,-992011631
-1,1083366477,2167804839,-1976784046
-1,2165665426,4333470265,-3939153311
-1,4329200052,8662670317,-7849603299
-1,8654146980,17316817297,-15642050283
