SSD,d,P,delta
-1,7,7,6
-1,6,13,11
-1,2,15,11
-1,4,19,12
-1,4,23,10
-1,16,39,15
-1,24,63,19
-1,44,107,23
-1,88,195,34
-1,156,351,42
-1,1,352,-242
-1,1,353,-811
-1,845,1198,-1086
-1,1003,2201,-2283
-1,2138,4339,-4468
-1,4276,8615,-8690
-1,8507,17122,-17179
-1,16878,34000,-34008
-1,33697,67697,-67155
-1,67345,135042,-132378
-1,134690,269732,-260624
-1,268534,538266,-513639
-1,536065,1074331,-1020672
-1,1069992,2144323,-2028378
-1,2135708,4280031,-4031070
-1,4275692,8555723,-7998471
-1,8538601,17094324,-15879212
-1,17060324,34154648,-31525004
-1,34086951,68241599,-62587349
-1,68106557,136348156,-124779384
-1,136078424,272426580,-248776595
-1,271888314,544314894,-495996453
-1,543240563,1087555457,-988894536
-1,1086481126,2174036583,-1970552302
-1,2171892260,4345928843,-3926694733
-1,4341648812,8687577655,-7824695961
-1,8679021932,17366599587,-15592267993
